0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /atcrowdfunding02-admin-webui/ztree/jquery.ztree.all-3.5.min.js HTTP/1.1" 200 61260
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /atcrowdfunding02-admin-webui/crowd/my-menu.js HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /atcrowdfunding02-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /atcrowdfunding02-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:43 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:43 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:44 +0800] "GET /atcrowdfunding02-admin-webui/main.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:45 +0800] "POST /atcrowdfunding02-admin-webui/menu/get/whole/tree.json HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [03/Aug/2020:07:40:47 +0800] "GET /atcrowdfunding02-admin-webui/menu/to/page.html HTTP/1.1" 200 7287
